symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
BTC/USDT,xgb_primary,conservative,1m,2025-12-26 01:35:00+00:00,2025-12-26 01:27:00+00:00,2025-12-26 01:35:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.5002435445785522,0.56,0.54,prob_floor,prob_floor,0.0009439999999987776,-0.0008033814000012224,8.736907,0.5002435445785522,0.0011444460928768617,0.0011444460928768617,8.737851,87369.07,87378.51,-0.0008033814000012224,8.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-26 01:36:00+00:00,2025-12-26 01:23:00+00:00,2025-12-26 01:36:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6076040863990784,0.48,0.47,gate_close,gate_close,0.016800000000000637,0.014869440000000638,9.6528,0.6076040863990784,5.789909015716079,0.8273009307127945,9.6696,120.66,120.87,0.014869440000000638,13.0
ETH/USDT,xgb_primary,primary,1m,2025-12-26 01:36:00+00:00,2025-12-26 01:15:00+00:00,2025-12-26 01:36:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6076040863990784,0.48,0.47,gate_close,gate_close,0.005760000000000218,0.005177364000000218,2.91318,0.6076040863990784,4.314802512173097,0.03425895314835851,2.91894,2913.18,2918.94,0.005177364000000218,21.0
BTC/USDT,xgb_primary,conservative,1m,2025-12-26 01:48:00+00:00,2025-12-26 01:37:00+00:00,2025-12-26 01:48:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.56,0.54,gate_close,gate_close,0.009181999999999245,0.007434595799999244,8.737021,0.565682053565979,3.707050372878654,0.0011433532268899655,8.746203,87370.21,87462.03,0.007434595799999244,11.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-26 01:51:00+00:00,2025-12-26 01:38:00+00:00,2025-12-26 01:51:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6076040863990784,0.48,0.47,gate_close,gate_close,-0.0032000000000005,-0.0051348800000005,9.6744,0.6076040863990784,5.777484318256287,0.8271640679933095,9.6712,120.93,120.89,-0.0051348800000005,13.0
ETH/USDT,xgb_primary,primary,1m,2025-12-26 02:01:00+00:00,2025-12-26 01:38:00+00:00,2025-12-26 02:01:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4742901027202606,0.51,0.5,prob_floor,prob_floor,0.00034999999999990903,-0.000233900000000091,2.9195,0.4742901027202606,2.36354792521616,0.03424827602815304,2.91985,2919.5,2919.85,-0.000233900000000091,23.0
