symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
BTC/USDT,xgb_primary,conservative,1m,2025-12-26 01:35:00+00:00,2025-12-26 01:27:00+00:00,2025-12-26 01:35:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.5002435445785522,0.56,0.54,prob_floor,prob_floor,0.0009439999999987776,-0.0008033814000012224,8.736907,0.5002435445785522,0.0011444460928768617,0.0011444460928768617,8.737851,87369.07,87378.51,-0.0008033814000012224,8.0,,,,,
BTC/USDT,xgb_primary,conservative,1m,2025-12-26 01:48:00+00:00,2025-12-26 01:37:00+00:00,2025-12-26 01:48:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.56,0.54,gate_close,gate_close,0.009181999999999245,0.007434595799999244,8.737021,0.565682053565979,3.707050372878654,0.0011433532268899655,8.746203,87370.21,87462.03,0.007434595799999244,11.0,,,,,
