symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 02:51:00+00:00,2025-12-29 02:48:00+00:00,2025-12-29 02:51:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6076040863990784,0.51,0.47,gate_close,gate_close,-0.010499999999998977,-0.014370899999998977,19.354499999999998,0.6076040863990784,10.064256406285939,0.7754041794278218,19.344,129.03,128.96,-0.014370899999998977,3.0,0.0024794669146133153,-0.0033317836665117673,0.000852316751898119,0.0016257644964001727,-0.004180537276457286
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 03:12:00+00:00,2025-12-29 03:09:00+00:00,2025-12-29 03:12:00+00:00,sell,False,dry_run,dry_run,,,True,0.587852478,0.565682053565979,0.51,0.47,gate_close,gate_close,0.036000000000001364,0.03213060000000136,19.346999999999998,0.565682053565979,13.16910682469498,0.7738440704191066,19.383,128.98,129.22,0.03213060000000136,3.0,0.0027125474695806062,-0.0037200651011392027,0.0003100054250948503,0.0024017974742387427,-0.004028821569690755
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 03:23:00+00:00,2025-12-29 03:14:00+00:00,2025-12-29 03:23:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.05250000000000341,-0.05637150000000341,19.3575,0.41829004883766174,0.7769705916646072,0.7769705916646072,19.304999999999996,129.05,128.7,-0.05637150000000341,9.0,0.0017808749516066147,-0.004645760743321681,-0.003639179248935309,0.005439850792663847,-0.0010102580043518383
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 03:46:00+00:00,2025-12-29 03:37:00+00:00,2025-12-29 03:46:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.6699029207229614,0.51,0.47,gate_close,gate_close,0.007500000000001705,0.0036288000000017054,19.355999999999998,0.6699029207229614,12.36858379715496,0.7746233394005116,19.3635,129.04,129.09,0.0036288000000017054,9.0,0.0027902650751820968,-0.003642846070376682,0.0026352503487832024,7.73036487320411e-05,-0.0072665429808288495
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 04:20:00+00:00,2025-12-29 04:10:00+00:00,2025-12-29 04:20:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.51,0.47,gate_close,gate_close,0.005999999999998806,0.0021335999999988063,19.331999999999997,0.565682053565979,6.976744186046776,0.7756447547038453,19.337999999999997,128.88,128.92,0.0021335999999988063,10.0,0.0017066170196260444,-0.005119851058878244,0.0006981615080288162,0.0010077519379845246,-0.006279069767441858
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 04:39:00+00:00,2025-12-29 04:36:00+00:00,2025-12-29 04:39:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.5878524780273438,0.51,0.47,gate_close,gate_close,-0.018000000000000682,-0.021872400000000684,19.362000000000002,0.5878524780273438,14.735535908174167,0.7754041794278218,19.344,129.08,128.96,-0.021872400000000684,3.0,0.0012405985888190862,-0.0074435915329147395,-0.00023261223540360643,0.0014735535908174668,-0.007212657049790683
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 05:09:00+00:00,2025-12-29 04:56:00+00:00,2025-12-29 05:09:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.4007633626461029,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.059999999999996584,-0.06386189999999659,19.309499999999996,0.4007633626461029,12.471743705666583,0.7792106596011147,19.2495,128.73,128.33,-0.06386189999999659,13.0,0.0002328288707800219,-0.009468374078385744,-0.004346138921226261,0.0014030711668875373,-0.00615792345467292
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 06:19:00+00:00,2025-12-29 06:14:00+00:00,2025-12-29 06:19:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.51,0.47,gate_close,gate_close,0.025500000000002385,0.021664500000002387,19.1775,0.6076040863990784,10.938354558949962,0.7810974419051673,19.203,127.85,128.02,0.021664500000002387,5.0,0.0020345879959309254,-0.0032083887628140406,0.001565067689177413,0.00046878662395521964,-0.0047659973435424385
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 06:33:00+00:00,2025-12-29 06:21:00+00:00,2025-12-29 06:33:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.040499999999999405,-0.04434119999999941,19.206,0.41829004883766174,15.65435190983004,0.7826257092549495,19.165499999999998,128.04,127.77,-0.04434119999999941,12.0,0.0,-0.005232331120656131,-0.00226474033580637,0.0015654351909830666,-0.0029743268628679154
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 07:25:00+00:00,2025-12-29 07:22:00+00:00,2025-12-29 07:25:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4007633626461029,0.51,0.47,prob_floor,prob_floor,-0.020999999999997954,-0.024827099999997954,19.135499999999997,0.4007633626461029,7.057716436636544,0.7847137756496179,19.1145,127.57,127.43,-0.024827099999997954,3.0,0.004469186137682435,-0.001019288066488988,-0.00015681354869068187,0.006900878293601087,-0.0007057716436636996
SOL/USDT,xgb_primary,conservative,1m,2025-12-29 07:46:00+00:00,2025-12-29 07:33:00+00:00,2025-12-29 07:46:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.5878524780273438,0.51,0.47,gate_close,gate_close,0.016499999999999914,0.012668699999999915,19.156499999999998,0.5878524780273438,5.478165597120628,0.7823195775478284,19.173,127.71,127.82,0.012668699999999915,13.0,0.0057966473445090205,-0.00031333228889229847,0.0009399968666772285,0.004852089528877723,-0.00046955705118179036
