symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:13:00+00:00,2025-12-29 02:48:00+00:00,2025-12-29 03:13:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.6076040863990784,0.51,0.47,take_profit,take_profit,0.08990999999999803,0.08450315999999804,27.0342,0.6076040863990784,0.03318075715242171,0.03318075715242171,27.12411,3003.8,3013.79,0.08450315999999804,25.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:35:00+00:00,2025-12-29 03:15:00+00:00,2025-12-29 03:35:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.5002435445785522,0.51,0.47,take_profit,take_profit,0.1422899999999995,0.1368693359999995,27.103319999999997,0.5002435445785522,0.033032789999713534,0.033032789999713534,27.245610000000003,3011.48,3027.29,0.1368693359999995,20.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:40:00+00:00,2025-12-29 03:37:00+00:00,2025-12-29 03:40:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.6699029207229614,0.51,0.47,take_profit,take_profit,0.10260000000000082,0.09715861800000082,27.206909999999997,0.6699029207229614,0.03295549854326243,0.03295549854326243,27.309510000000003,3022.99,3034.39,0.09715861800000082,3.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:58:00+00:00,2025-12-29 03:43:00+00:00,2025-12-29 03:58:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.6699029207,0.6076040863990784,0.51,0.47,take_profit,take_profit,0.0840599999999972,0.0785981519999972,27.30924,0.6076040863990784,0.032854695183068924,0.032854695183068924,27.3933,3034.36,3043.7,0.0785981519999972,15.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 04:17:00+00:00,2025-12-29 04:00:00+00:00,2025-12-29 04:17:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.6076040863990784,0.51,0.47,take_profit,take_profit,0.07964999999999918,0.07417142999999918,27.39285,0.6076040863990784,0.032759979099848416,0.032759979099848416,27.472500000000004,3043.65,3052.5,0.07417142999999918,17.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 04:31:00+00:00,2025-12-29 04:19:00+00:00,2025-12-29 04:31:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.07857000000000015,-0.08406352800000015,27.46764,0.41829004883766174,0.03285976929078278,0.03285976929078278,27.389070000000004,3051.96,3043.23,-0.08406352800000015,12.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 04:50:00+00:00,2025-12-29 04:38:00+00:00,2025-12-29 04:50:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.06560999999999967,-0.07110334799999966,27.466739999999998,0.41829004883766174,0.03284530681544561,0.03284530681544561,27.401130000000006,3051.86,3044.57,-0.07110334799999966,12.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 05:28:00+00:00,2025-12-29 05:14:00+00:00,2025-12-29 05:28:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.04878000000000065,-0.05425646400000065,27.382319999999996,0.41829004883766174,0.03292652610404545,0.03292652610404545,27.333540000000003,3042.48,3037.06,-0.05425646400000065,14.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 05:58:00+00:00,2025-12-29 05:37:00+00:00,2025-12-29 05:58:00+00:00,sell,False,dry_run,dry_run,,,True,0.587852478,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.009280000000000656,-0.011712736000000657,12.163680000000001,0.41829004883766174,0.03290983856150529,0.03290983856150529,12.1544,3040.92,3038.6,-0.011712736000000657,21.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 06:16:00+00:00,2025-12-29 06:08:00+00:00,2025-12-29 06:16:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.51,0.47,gate_close,gate_close,0.023959999999999128,0.021529591999999126,12.152040000000001,0.6076040863990784,7.129597686987902,0.0328514572092302,12.176,3038.01,3044.0,0.021529591999999126,8.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 06:23:00+00:00,2025-12-29 06:18:00+00:00,2025-12-29 06:23:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.565682053565979,0.51,0.47,gate_close,gate_close,-0.01125,-0.01672812,27.3906,0.565682053565979,6.113433777708078,0.032871434886662686,27.379350000000002,3043.4,3042.15,-0.01672812,5.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 07:10:00+00:00,2025-12-29 07:01:00+00:00,2025-12-29 07:10:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.10224000000000114,-0.10770586200000114,27.32931,0.41829004883766174,0.033055283307787765,0.033055283307787765,27.227070000000005,3036.59,3025.23,-0.10770586200000114,9.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 07:46:00+00:00,2025-12-29 07:32:00+00:00,2025-12-29 07:46:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.021780000000000653,-0.02721416400000065,27.17082,0.41829004883766174,0.03315028849110919,0.03315028849110919,27.149040000000003,3018.98,3016.56,-0.02721416400000065,14.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 07:59:00+00:00,2025-12-29 07:52:00+00:00,2025-12-29 07:59:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.565682053565979,0.51,0.47,gate_close,gate_close,-0.003840000000000146,-0.006256008000000146,12.08004,0.565682053565979,4.603914320822851,0.033122947411569285,12.076200000000002,3020.01,3019.05,-0.006256008000000146,7.0,,,,,
ETH/USDT,xgb_primary,primary,1m,2025-12-29 08:38:00+00:00,2025-12-29 08:11:00+00:00,2025-12-29 08:38:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.014520000000000437,-0.016936496000000436,12.08248,0.41829004883766174,0.0331278303597294,0.03314556371561199,12.06796,3020.62,3016.99,-0.016936496000000436,27.0,,,,,
