symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:13:00+00:00,2025-12-29 02:48:00+00:00,2025-12-29 03:13:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.6076040863990784,0.51,0.47,take_profit,take_profit,0.08990999999999803,0.08450315999999804,27.0342,0.6076040863990784,0.03318075715242171,0.03318075715242171,27.12411,3003.8,3013.79,0.08450315999999804,25.0,0.03843143784863878,-0.0001465323453501144,0.0036766297560568706,0.03462749561183753,-0.0738936687692241
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:35:00+00:00,2025-12-29 03:15:00+00:00,2025-12-29 03:35:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.5002435445785522,0.51,0.47,take_profit,take_profit,0.1422899999999995,0.1368693359999995,27.103319999999997,0.5002435445785522,0.033032789999713534,0.033032789999713534,27.245610000000003,3011.48,3027.29,0.1368693359999995,20.0,0.035424560098556546,-0.07318020767266475,0.005256569050995141,0.0300102401479867,-0.07802662438476526
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:40:00+00:00,2025-12-29 03:37:00+00:00,2025-12-29 03:40:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.6699029207229614,0.51,0.47,take_profit,take_profit,0.10260000000000082,0.09715861800000082,27.206909999999997,0.6699029207229614,0.03295549854326243,0.03295549854326243,27.309510000000003,3022.99,3034.39,0.09715861800000082,3.0,0.03148217983579116,-0.07670907515100989,0.003777729260530993,0.02760018455048785,-0.08018389137885573
ETH/USDT,xgb_primary,primary,1m,2025-12-29 03:58:00+00:00,2025-12-29 03:43:00+00:00,2025-12-29 03:58:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.6699029207,0.6076040863990784,0.51,0.47,take_profit,take_profit,0.0840599999999972,0.0785981519999972,27.30924,0.6076040863990784,0.032854695183068924,0.032854695183068924,27.3933,3034.36,3043.7,0.0785981519999972,15.0,0.006713134608729909,-0.0801687346548684,0.0033054855240826075,0.003396422260033116,-0.08319920640655898
ETH/USDT,xgb_primary,primary,1m,2025-12-29 04:17:00+00:00,2025-12-29 04:00:00+00:00,2025-12-29 04:17:00+00:00,sell,True,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.6076040863990784,0.51,0.47,take_profit,take_profit,0.07964999999999918,0.07417142999999918,27.39285,0.6076040863990784,0.032759979099848416,0.032759979099848416,27.472500000000004,3043.65,3052.5,0.07417142999999918,17.0,0.0028627708470123636,-0.0836868023637557,0.002133946158896949,0.0007272727272726875,-0.006116298116298102
ETH/USDT,xgb_primary,primary,1m,2025-12-29 04:31:00+00:00,2025-12-29 04:19:00+00:00,2025-12-29 04:31:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.07857000000000015,-0.08406352800000015,27.46764,0.41829004883766174,0.03285976929078278,0.03285976929078278,27.389070000000004,3051.96,3043.23,-0.08406352800000015,12.0,0.000910896020236196,-0.0059339305490934136,-0.002853922423114441,0.0032071187521152122,-0.0030888233883078486
ETH/USDT,xgb_primary,primary,1m,2025-12-29 04:50:00+00:00,2025-12-29 04:38:00+00:00,2025-12-29 04:50:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.41829004883766174,0.51,0.47,prob_floor,"prob_floor,trailing_prob_drop",-0.06560999999999967,-0.07110334799999966,27.466739999999998,0.41829004883766174,0.03284530681544561,0.03284530681544561,27.401130000000006,3051.86,3044.57,-0.07110334799999966,12.0,0.0,-0.006275814856910755,-0.0028398389775268207,0.0002266516003575081,-0.0034457612865927967
ETH/USDT,xgb_primary,primary,1m,2025-12-29 05:28:00+00:00,2025-12-29 05:14:00+00:00,2025-12-29 05:28:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.04878000000000065,-0.05425646400000065,27.382319999999996,0.41829004883766174,0.03292652610404545,0.03292652610404545,27.333540000000003,3042.48,3037.06,-0.05425646400000065,14.0,0.0006638207815341524,-0.0032336616288584086,-0.0019487412051961694,0.003430949668429273,-0.0012874292901687845
ETH/USDT,xgb_primary,primary,1m,2025-12-29 05:58:00+00:00,2025-12-29 05:37:00+00:00,2025-12-29 05:58:00+00:00,sell,False,dry_run,dry_run,,,True,0.587852478,0.41829004883766174,0.51,0.47,prob_floor,prob_floor,-0.009280000000000656,-0.011712736000000657,12.163680000000001,0.41829004883766174,0.03290983856150529,0.03290983856150529,12.1544,3040.92,3038.6,-0.011712736000000657,21.0,0.002157241887323469,-0.0025551477842231662,-0.0006741380897886673,0.0028332900058245514,-0.002211348297228799
ETH/USDT,xgb_primary,primary,1m,2025-12-29 06:16:00+00:00,2025-12-29 06:08:00+00:00,2025-12-29 06:16:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.6076040863990784,0.51,0.47,gate_close,gate_close,0.023959999999999128,0.021529591999999126,12.152040000000001,0.6076040863990784,7.129597686987902,0.0328514572092302,12.176,3038.01,3044.0,0.021529591999999126,8.0,0.0032723848904048225,-0.0024493504612285166,0.0015999789303187129,0.0016697344201945796,-0.039606889297922665
