symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 18:09:00+00:00,2025-12-29 18:01:00+00:00,2025-12-29 18:09:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.6076040864,0.41829004883766174,0.56,0.5,prob_floor,"prob_floor,trailing_prob_drop",-0.04835599999999977,-0.051873067999999765,26.378009999999996,0.41829004883766174,9.699846119936252,0.0011404468892185643,17.536984,87926.7,87684.92,-0.051873067999999765,8.0,0.0014058977147390905,-0.005669680269225763,-0.0014682606698690481,0.0014448907191699778,-0.004865992597071989
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 18:27:00+00:00,2025-12-29 18:24:00+00:00,2025-12-29 18:27:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.4742901027202606,0.56,0.5,prob_floor,prob_floor,-0.006433999999999651,-0.009943181999999651,26.318865,0.4742901027202606,2.9663218726000187,0.0011402848551027272,17.539476,87729.55,87697.38,-0.009943181999999651,3.0,0.0,-0.006159494437947832,-0.0015912065238101736,0.0006772835605348693,-0.004575568588726209
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 19:24:00+00:00,2025-12-29 19:10:00+00:00,2025-12-29 19:24:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.41829004883766174,0.56,0.5,prob_floor,"prob_floor,trailing_prob_drop",-0.01842899999999936,-0.020182045799999358,8.765229,0.41829004883766174,1.7624337587229106,0.0011432751889975438,8.7468,87652.29,87468.0,-0.020182045799999358,14.0,0.00018196902579137308,-0.004623496388228565,-0.001821173391040154,0.0011994150365772782,-0.0028074358246091835
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 19:36:00+00:00,2025-12-29 19:33:00+00:00,2025-12-29 19:36:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.41829004883766174,0.56,0.5,prob_floor,prob_floor,-0.013152999999999884,-0.014903399999999883,8.752,0.41829004883766174,6.755291979049204,0.001144315654296669,8.738847,87520.0,87388.47,-0.014903399999999883,3.0,0.0006031198429969908,-0.0034013446145679804,-0.0015059719716044029,0.002112272838292295,-0.0018982313261364236
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 21:21:00+00:00,2025-12-29 21:03:00+00:00,2025-12-29 21:21:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4742901027202606,0.56,0.5,prob_floor,prob_floor,-0.0035010000000009313,-0.005246637000000932,8.728185000000002,0.4742901027202606,5.653871240243979,0.0011461732523752838,8.724684,87281.85,87246.84,-0.005246637000000932,18.0,0.0011651205443705681,-0.0004778277606241055,-2.635500837977478e-05,0.0010416232179533136,-0.0021304575212529597
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 22:01:00+00:00,2025-12-29 21:37:00+00:00,2025-12-29 22:01:00+00:00,sell,False,dry_run,dry_run,,,True,0.5656820536,0.4742901027202606,0.56,0.5,prob_floor,prob_floor,-0.001490999999998894,-0.0032370235999988938,8.730118,0.4742901027202606,1.8341945417068184,0.001145655487619481,8.728627000000001,87301.18,87286.27,-0.0032370235999988938,24.0,0.0006570357926434234,-0.002513826273596642,-0.0001707880695310804,0.0013521026846488038,-0.0023434384353919757
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 22:48:00+00:00,2025-12-29 22:25:00+00:00,2025-12-29 22:48:00+00:00,sell,False,dry_run,dry_run,,,True,0.6076040864,0.565682053565979,0.56,0.5,gate_close,gate_close,0.01743600000000006,0.01569140160000006,8.722992,0.565682053565979,3.2021783052546255,0.0011441086663841835,8.740428,87229.92,87404.28,0.01569140160000006,23.0,0.0035644879646801186,-0.00031995902323422865,0.0016978119434249983,0.0018635121281072031,-0.0021746887832889694
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 23:05:00+00:00,2025-12-29 22:50:00+00:00,2025-12-29 23:05:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.4742901027202606,0.56,0.5,prob_floor,prob_floor,0.0029619999999995344,-0.0005325840000004658,26.20938,0.4742901027202606,2.516940128759427,0.0011444343035211793,17.475882000000002,87364.6,87379.41,-0.0005325840000004658,15.0,0.0015625092958835296,-0.002474478366505606,-0.00041519705899983883,0.0016389297727918972,-0.0020601366701924473
BTC/USDT,xgb_primary,conservative,1m,2025-12-29 23:31:00+00:00,2025-12-29 23:16:00+00:00,2025-12-29 23:31:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.41829004883766174,0.56,0.5,prob_floor,prob_floor,-0.014335999999998603,-0.017829665999998603,26.202494999999995,0.41829004883766174,0.0011461926299714503,0.0011458694693978438,17.453994,87341.65,87269.97,-0.017829665999998603,15.0,0.0017129965558067006,-0.001986343416833458,-0.00132964704258276,0.0013070034547391085,-0.0006575707112022044
BTC/USDT,xgb_primary,conservative,1m,2025-12-30 00:10:00+00:00,2025-12-29 23:55:00+00:00,2025-12-30 00:10:00+00:00,sell,False,dry_run,dry_run,,exchange_qty_step,True,0.5656820536,0.565682053565979,0.56,0.5,gate_close,gate_close,0.01550800000000163,0.01201771400000163,26.177144999999996,0.565682053565979,5.171832621772014,0.0011450203146368472,17.466938000000003,87257.15,87334.69,0.01201771400000163,15.0,0.0011718237416646904,-0.0017426652142545906,0.0008886377792536315,0.0002829345360930713,-0.002628966794294474
