symbol,model,policy_id,timeframe,occurred_at,entry_ts,exit_ts,side,gate_pass,decision,skip_reason,risk_block_reason,risk_clip_reasons,executed,entry_prob,exit_prob,entry_threshold,exit_threshold,exit_reason_primary,exit_reason_all,pnl_gross,pnl_net,pnl_notional,probability,spread_entry_bps,spread_exit_bps,intended_notional,entry_price,exit_price,pnl,hold_minutes
ETH/USDT,xgb_primary,primary,1m,2025-12-25 19:30:00+00:00,,2025-12-25 19:30:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.5002435445785522,0.5002435445785522,,0.48,dry_run,,,,,0.5002435445785522,0.03385693076839414,,17.72166,,2953.61,0.0,
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 19:35:00+00:00,,2025-12-25 19:35:00+00:00,buy,True,dry_run,dry_run,,exchange_qty_step,True,0.5002435445785522,0.5002435445785522,,0.48,dry_run,,,,,0.5002435445785522,0.809290656738632,,9.8856,,123.57,0.0,
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 19:36:00+00:00,2025-12-25 19:35:00+00:00,2025-12-25 19:36:00+00:00,sell,False,min_hold,min_hold,,,False,0.5002435446,0.5002435445785522,0.48,0.42,gate_close,gate_close,-0.002399999999998954,-0.0051772818843318705,9.8856,0.5002435445785522,6.474063283968463,0.8094216682173221,,123.57,123.54,-0.0051772818843318705,1.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 19:39:00+00:00,2025-12-25 19:35:00+00:00,2025-12-25 19:39:00+00:00,sell,False,min_hold,min_hold,,,False,0.5002435446,0.41829004883766174,0.48,0.42,prob_floor,prob_floor,-0.0015999999999996818,-0.004377217122738952,9.8856,0.41829004883766174,8.90904673199963,0.8093561571773796,,123.57,123.55,-0.004377217122738952,4.0
SOL/USDT,xgb_primary,conservative,1m,2025-12-25 19:43:00+00:00,2025-12-25 19:35:00+00:00,2025-12-25 19:43:00+00:00,sell,False,dry_run,dry_run,,,True,0.5002435446,0.5002435445785522,0.48,0.42,gate_close,gate_close,-0.003999999999999773,-0.0059771199999997734,9.8856,0.5002435445785522,5.662514156285988,0.8095527221214422,9.8816,123.57,123.52,-0.0059771199999997734,8.0
