entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.1,3,,0.004,0.0075,8,646,425,8.329906978732009,0.41649534893660045,8.43603499508153,0.1308595179689993,3.1925244610467627,0.007071061127000039,0.012894592846334367,0.4499,1261,0,0,"{""gate_close"": 1176, ""prob_floor"": 604, ""prob_trailing"": 28, ""take_profit"": 74, ""stop_loss"": 25}",0.264
0.49,0.48,0.1,3,,0.004,0.0075,10,776,493,6.962614532642002,0.3481307266321001,8.272702136429254,0.14796629017099905,2.4670713631983747,0.00660451596499986,0.00897244140804381,0.3957,591,0,0,"{""gate_close"": 869, ""prob_floor"": 449, ""prob_trailing"": 24, ""take_profit"": 12, ""stop_loss"": 13}",0.264
0.49,0.48,0.1,3,,0.005,,8,643,422,8.340174613659007,0.41700873068295036,8.485433781931999,0.1308595179689993,3.265778369347377,0.006960718395001876,0.01297072257178694,0.451,1270,0,0,"{""gate_close"": 1222, ""prob_floor"": 648, ""prob_trailing"": 29, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,3,,0.005,,10,774,491,6.944244132857997,0.34721220664289987,8.309514684284034,0.14796629017099905,2.482528753802778,0.006560894209000308,0.00897189164451937,0.3959,593,0,0,"{""gate_close"": 880, ""prob_floor"": 458, ""prob_trailing"": 23, ""stop_loss"": 6}",0.264
0.49,0.48,0.1,3,,0.005,0.0075,8,643,422,8.317758775356006,0.41588793876780034,8.50913041518498,0.1308595179689993,3.2596886501375955,0.006960718395001876,0.012935861236945567,0.4504,1266,0,0,"{""gate_close"": 1189, ""prob_floor"": 605, ""prob_trailing"": 27, ""take_profit"": 74, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,3,,0.005,0.0075,10,774,491,6.944244132857997,0.34721220664289987,8.309514684284034,0.14796629017099905,2.482528753802778,0.006560894209000308,0.00897189164451937,0.3959,593,0,0,"{""gate_close"": 876, ""prob_floor"": 450, ""prob_trailing"": 23, ""take_profit"": 12, ""stop_loss"": 6}",0.264
0.49,0.48,0.1,3,3600.0,0.004,,8,646,425,8.352322817035011,0.4176161408517506,8.413417172169739,0.1308595179689993,3.198424559801729,0.007071061127000039,0.012929292286431892,0.4505,1265,0,0,"{""gate_close"": 1209, ""prob_floor"": 645, ""prob_trailing"": 30, ""stop_loss"": 25, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.004,,10,776,493,6.962614532642002,0.3481307266321001,8.272702136429254,0.14796629017099905,2.4670713631983747,0.00660451596499986,0.00897244140804381,0.3957,591,0,0,"{""gate_close"": 873, ""prob_floor"": 455, ""prob_trailing"": 24, ""stop_loss"": 13, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.004,0.0075,8,646,425,8.329906978732009,0.41649534893660045,8.43603499508153,0.1308595179689993,3.1925244610467627,0.007071061127000039,0.012894592846334367,0.4499,1261,0,0,"{""gate_close"": 1176, ""prob_floor"": 602, ""prob_trailing"": 28, ""take_profit"": 74, ""stop_loss"": 25, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.004,0.0075,10,776,493,6.962614532642002,0.3481307266321001,8.272702136429254,0.14796629017099905,2.4670713631983747,0.00660451596499986,0.00897244140804381,0.3957,591,0,0,"{""gate_close"": 869, ""prob_floor"": 447, ""prob_trailing"": 24, ""take_profit"": 12, ""stop_loss"": 13, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.005,,8,643,422,8.340174613659007,0.41700873068295036,8.485433781931999,0.1308595179689993,3.265778369347377,0.006960718395001876,0.01297072257178694,0.451,1270,0,0,"{""gate_close"": 1222, ""prob_floor"": 646, ""prob_trailing"": 29, ""stop_loss"": 14, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.005,,10,774,491,6.944244132857997,0.34721220664289987,8.309514684284034,0.14796629017099905,2.482528753802778,0.006560894209000308,0.00897189164451937,0.3959,593,0,0,"{""gate_close"": 880, ""prob_floor"": 456, ""prob_trailing"": 23, ""time_limit"": 2, ""stop_loss"": 6}",0.264
0.49,0.48,0.1,3,3600.0,0.005,0.0075,8,643,422,8.317758775356006,0.41588793876780034,8.50913041518498,0.1308595179689993,3.2596886501375955,0.006960718395001876,0.012935861236945567,0.4504,1266,0,0,"{""gate_close"": 1189, ""prob_floor"": 603, ""prob_trailing"": 27, ""take_profit"": 74, ""stop_loss"": 14, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.005,0.0075,10,774,491,6.944244132857997,0.34721220664289987,8.309514684284034,0.14796629017099905,2.482528753802778,0.006560894209000308,0.00897189164451937,0.3959,593,0,0,"{""gate_close"": 876, ""prob_floor"": 448, ""prob_trailing"": 23, ""take_profit"": 12, ""time_limit"": 2, ""stop_loss"": 6}",0.264
0.49,0.48,0.15,1,,0.004,,8,760,483,8.382131432612997,0.41910657163064985,8.41261459889847,0.14126550232600188,3.1229551641289723,0.005634264306000021,0.011029120306069727,0.4165,1532,0,0,"{""gate_close"": 1520, ""prob_floor"": 748, ""prob_trailing"": 4, ""stop_loss"": 20}",0.264
