symbol,entry_ts,exit_ts,exit_reason,pnl,hold_minutes,entry_price,exit_price,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
ETH/USDT,2025-12-26 01:38:00+00:00,2025-12-26 02:01:00+00:00,,-0.000233900000000091,23.0,2918.58,2919.85,0.1033002350458101,-0.1525844760123073,0.00043514311754355717,0.10282035036046389,-0.15295306265732822
ETH/USDT,2025-12-26 02:03:00+00:00,2025-12-26 02:15:00+00:00,,0.04881585800000009,12.0,2920.7,2970.11,0.10249940082856868,-0.15319957544424279,0.01691717738898224,0.08415849918016516,-0.12474285464174728
ETH/USDT,2025-12-26 03:03:00+00:00,2025-12-26 03:11:00+00:00,,0.001355515999999818,8.0,2972.94,2974.35,0.0009754653642521927,-0.006155522815798564,0.0004742779874467029,0.0005009497873484925,-0.007154504345487145
ETH/USDT,2025-12-26 03:33:00+00:00,2025-12-26 03:46:00+00:00,,0.005067731999999854,13.0,2961.85,2967.75,0.25261576379627604,-0.002964363489035504,0.001991998244340598,0.2501255159632718,-0.004946508297531738
ETH/USDT,2025-12-26 03:49:00+00:00,2025-12-26 04:02:00+00:00,,-0.011033014000000054,13.0,2965.28,2956.04,0.25116683753304914,-0.004117654993794906,-0.0031160632385475173,0.25507773913749476,-0.0010047225342011412
ETH/USDT,2025-12-26 04:17:00+00:00,2025-12-26 04:25:00+00:00,,-0.0011617520000001638,8.0,2958.76,2958.19,0.253923941110465,-0.0007604537035785786,-0.00019264827157328135,0.2541655539366978,-0.0004732623665146818
ETH/USDT,2025-12-26 04:34:00+00:00,2025-12-26 04:46:00+00:00,,0.004987165999999927,12.0,2964.16,2972.39,0.003306164309619053,-0.000435199179531498,0.002776503292669874,0.0005281944832273844,-0.0016787837396841088
ETH/USDT,2025-12-26 04:48:00+00:00,2025-12-26 05:01:00+00:00,,0.002276175999999891,13.0,2969.68,2971.3,0.0014344979930498436,-0.0007677594892377959,0.0005455133213008168,0.0011543768720760905,-0.0013125567933228721
ETH/USDT,2025-12-26 05:03:00+00:00,2025-12-26 05:13:00+00:00,,-0.0010742220000000183,10.0,2971.2,2970.64,0.001188072159396869,-0.001278944534194859,-0.00018847603661820145,0.0030599466781568996,-0.0010906740635013845
ETH/USDT,2025-12-26 05:34:00+00:00,2025-12-26 05:46:00+00:00,,0.003066031999999854,12.0,2970.14,2973.62,0.003393779417805165,-0.0007003036893883374,0.0011716619418613572,0.002727315527875085,-0.0014796779682676453
ETH/USDT,2025-12-26 05:48:00+00:00,2025-12-26 06:29:00+00:00,,0.0023553600000002727,41.0,2973.2,2976.16,0.0028689627337550316,-0.0013386250504506814,0.0009955603390285894,0.005396215257244208,-0.0007459276382989488
ETH/USDT,2025-12-26 06:41:00+00:00,2025-12-26 06:55:00+00:00,,-0.004806070000000036,14.0,2980.83,2976.01,0.0038210833895258034,-0.004223655827403805,-0.0016169992921433174,0.005446890299427576,-0.0061222912557418185
ETH/USDT,2025-12-26 07:02:00+00:00,2025-12-26 07:32:00+00:00,,0.0008644540000000363,30.0,2977.72,2979.19,0.004869497467861361,-0.008100157167228561,0.0004936662950176807,0.0003927241968455508,-0.00858958307459412
ETH/USDT,2025-12-26 08:04:00+00:00,2025-12-26 08:18:00+00:00,,-0.003773053999999836,14.0,2965.26,2962.09,0.0014939668022364572,-0.002778845699871302,-0.0010690462219165031,0.001289629957226035,-0.001711629288779215
ETH/USDT,2025-12-26 08:25:00+00:00,2025-12-26 08:36:00+00:00,,-0.0035524920000000364,11.0,2962.46,2959.5,0.002602566785711913,-0.0018363117139134078,-0.0009991696090411173,0.0036289913836795584,-0.0008379793884102371
ETH/USDT,2025-12-26 08:51:00+00:00,2025-12-26 09:26:00+00:00,,0.003407414,35.0,2962.93,2967.74,0.0039521689678798655,-0.0004758802941682294,0.0016233930602478353,0.002325001516305436,-0.0005357612189745842
ETH/USDT,2025-12-26 09:28:00+00:00,2025-12-26 10:05:00+00:00,,0.004316611999999854,37.0,2966.93,2972.29,0.002598645738187244,-9.774413282415129e-05,0.0018065812135776849,0.0004575596593872078,-0.0017360351782631511
ETH/USDT,2025-12-26 10:29:00+00:00,2025-12-26 10:42:00+00:00,,-0.0038846999999999636,13.0,2973.5,2970.22,5.0445602824966684e-05,-0.003383218429460211,-0.0011030771817723828,0.001151429860414499,-0.0022826591969618004
ETH/USDT,2025-12-26 10:47:00+00:00,2025-12-26 11:03:00+00:00,,-0.0021243060000002,16.0,2972.12,2970.24,0.0005114194581645748,-0.002920474274255347,-0.0006325451193087694,0.00025923831070895353,-0.0022893772893771702
ETH/USDT,2025-12-26 11:33:00+00:00,2025-12-26 11:47:00+00:00,,-0.003073528000000018,14.0,2967.64,2966.01,0.0012231941879743413,-0.0011288431211332606,-0.0005492579962528277,0.0025623649279671312,-0.0005799036415926606
ETH/USDT,2025-12-26 12:06:00+00:00,2025-12-26 12:33:00+00:00,,0.0009964819999996907,27.0,2967.58,2969.19,0.002918202710626039,-0.0004414371305911935,0.000542529603245745,0.0033005634533322947,-3.3679218912618936e-06
ETH/USDT,2025-12-26 12:40:00+00:00,2025-12-26 13:15:00+00:00,,0.0038355060000002912,35.0,2972.46,2975.87,0.0035963478061942222,-0.0008275973436143724,0.001147197943790701,0.00324274917923173,-0.0005578200660646404
ETH/USDT,2025-12-26 13:19:00+00:00,2025-12-26 14:03:00+00:00,,0.005634692000000018,44.0,2976.67,2982.77,0.002973120970749088,-0.0008264268461065649,0.0020492698216463268,0.0009521350959007524,-0.029201044666534726
ETH/USDT,2025-12-26 14:20:00+00:00,2025-12-26 14:29:00+00:00,,-0.006466765999999891,9.0,2983.82,2977.79,0.002312471931952942,-0.029542666782848892,-0.0020208993840111766,0.004342146356861809,-0.027577498749072227
ETH/USDT,2025-12-26 15:15:00+00:00,2025-12-26 15:28:00+00:00,,0.014909381999999782,13.0,2903.09,2917.03,0.030185078657568143,-0.004729443455077198,0.004801780172161374,0.022317219912033837,-0.009485675498709378
ETH/USDT,2025-12-26 15:30:00+00:00,2025-12-26 15:53:00+00:00,,-0.002383943999999727,23.0,2919.71,2917.93,0.021378835569286103,-0.010394867983464118,-0.0006096495884866382,0.003571024664745348,-0.0004146775282477533
ETH/USDT,2025-12-26 15:58:00+00:00,2025-12-26 16:08:00+00:00,,0.005586164000000073,10.0,2919.3,2924.63,0.00310005823313797,-0.004110574452779736,0.0018257801527763462,0.0009095167593848874,-0.005925535879752308
ETH/USDT,2025-12-26 16:10:00+00:00,2025-12-26 16:18:00+00:00,,-0.004284589999999818,8.0,2922.94,2919.26,0.001046891143848372,-0.005350776957446901,-0.0012590063429286369,0.0023088042860175406,-0.004096928673705036
ETH/USDT,2025-12-26 16:25:00+00:00,2025-12-26 16:34:00+00:00,,-0.004314500000000018,9.0,2922.5,2918.98,0.0009272882805817506,-0.005201026518391716,-0.0012044482463644535,0.005224427711049806,-0.004018527019712392
ETH/USDT,2025-12-26 16:49:00+00:00,2025-12-26 16:57:00+00:00,,-0.01301433000000029,8.0,2921.65,2909.22,0.004305786114011001,-0.004928721783923451,-0.0042544452620951745,0.00899210097551939,-0.0006771574511380551
ETH/USDT,2025-12-26 17:10:00+00:00,2025-12-26 17:43:00+00:00,,0.011537241999999892,33.0,2913.79,2926.09,0.007409593690691496,-0.0022444994320112155,0.004221306271213754,0.00317488525643439,-0.006438626289690386
ETH/USDT,2025-12-26 18:05:00+00:00,2025-12-26 18:29:00+00:00,,-0.003434757999999909,24.0,2923.78,2920.98,0.0015049011895558184,-0.00565364015076375,-0.0009576643933538742,0.0024649261549205548,-0.00470047723709166
ETH/USDT,2025-12-26 18:37:00+00:00,2025-12-26 18:54:00+00:00,,-0.002015210000000291,17.0,2926.04,2924.63,0.0007313638911292664,-0.006421648371177424,-0.0004818799469590296,0.0018532258781454036,-0.002017349203147112
ETH/USDT,2025-12-26 19:08:00+00:00,2025-12-26 19:16:00+00:00,,-0.0035946340000002183,8.0,2922.82,2920.17,0.002473638472434203,-0.001399333520367363,-0.0009066586378908559,0.0033833646671255213,-0.0004931219757754457
ETH/USDT,2025-12-26 19:23:00+00:00,2025-12-26 19:58:00+00:00,,0.001405199999999782,35.0,2924.0,2925.99,0.002069083447332476,-0.0006395348837209269,0.0006805745554034903,0.003923458385025169,-0.0011209881100071595
ETH/USDT,2025-12-26 20:09:00+00:00,2025-12-26 21:00:00+00:00,,0.006904581999999782,51.0,2926.79,2934.58,0.0036490489580733865,-0.0009532627896090551,0.0026616190433887965,0.0002930572688426558,-0.003441719087569517
ETH/USDT,2025-12-26 21:20:00+00:00,2025-12-26 21:31:00+00:00,,-0.004846839999999764,11.0,2933.54,2929.66,0.0006476816406117969,-0.0030884187704957045,-0.001322634087143948,0.000621232497969082,-0.0027204522026446076
ETH/USDT,2025-12-26 21:52:00+00:00,2025-12-26 22:00:00+00:00,,-0.004205799999999892,8.0,2929.0,2925.39,0.0005974735404574716,-0.0024957323318538505,-0.0012325025606009232,0.0027449331542119815,-0.001264788626473723
ETH/USDT,2025-12-26 22:13:00+00:00,2025-12-26 22:24:00+00:00,,-0.005805438000000255,11.0,2927.19,2921.97,0.0023059657897164243,-0.001878935087917033,-0.0017832802107141665,0.0040965512992947595,-9.58257613868918e-05
ETH/USDT,2025-12-26 22:33:00+00:00,2025-12-26 22:47:00+00:00,,-0.0002954760000000364,14.0,2928.16,2927.19,0.001973935850499986,-0.001335309545926422,-0.00033126605103539486,0.0023059657897164243,-0.00047144189478653953
ETH/USDT,2025-12-26 22:52:00+00:00,2025-12-26 23:15:00+00:00,,-0.0013361480000000001,23.0,2930.04,2929.6,0.001331039849285398,-0.0011740454055234606,-0.00015016859838090646,0.0006178317859093507,-0.0010240305843801645
ETH/USDT,2025-12-26 23:55:00+00:00,2025-12-27 00:10:00+00:00,,0.0016442660000000183,15.0,2928.63,2930.95,0.0007921792783656123,-0.0017926470738878209,0.0007921792783656123,0.0,-0.002582780327197609
ETH/USDT,2025-12-27 00:14:00+00:00,2025-12-27 00:22:00+00:00,,-0.004195647999999673,8.0,2928.24,2924.64,0.0007478895172527977,-0.00165970002458804,-0.001229407425620832,0.0017711581596369097,-0.0005778488976421192
ETH/USDT,2025-12-27 00:36:00+00:00,2025-12-27 00:59:00+00:00,,0.0004447180000002001,23.0,2926.39,2927.45,0.0011720925782279235,-0.0011755097577561546,0.00036222103000627115,0.0004918956771251537,-0.0015371739910160498
ETH/USDT,2025-12-27 01:33:00+00:00,2025-12-27 01:51:00+00:00,,-7.518199999978167e-05,18.0,2925.9,2926.43,0.0010219077890563089,-0.0005160805222325093,0.00018114084555165277,0.0009602143225704296,-0.0006970950953892885
ETH/USDT,2025-12-27 02:22:00+00:00,2025-12-27 02:59:00+00:00,,0.0011547420000002366,37.0,2926.21,2927.62,0.0011003994928593386,-0.0003280694140201934,0.00048185195184213825,0.001974299943298785,-0.0007480479023916908
ETH/USDT,2025-12-27 03:20:00+00:00,2025-12-27 04:04:00+00:00,,0.0013943940000000182,44.0,2928.03,2930.02,0.0019159639757788671,0.0,0.0006796378452404994,0.0004607477082068101,-0.0006109173316223293
ETH/USDT,2025-12-27 04:49:00+00:00,2025-12-27 04:58:00+00:00,,-0.0005361100000002729,9.0,2930.42,2929.06,0.00049480961773396,-0.0005835341009138295,-0.00046409729663332566,0.0009593521471051858,-0.00011949226031560123
ETH/USDT,2025-12-27 05:35:00+00:00,2025-12-27 06:04:00+00:00,,-0.0014461420000001274,29.0,2930.71,2930.0,0.00039580852421416957,-0.0007916170484285612,-0.00024226211395872443,0.000556313993174129,-0.0005494880546075276
ETH/USDT,2025-12-27 06:43:00+00:00,2025-12-27 06:55:00+00:00,,-0.001406019999999709,12.0,2930.33,2929.26,0.00238198428163372,-0.0005118877396060872,-0.00036514658758557417,0.00274813434109622,-3.4138314797260705e-06
ETH/USDT,2025-12-27 07:01:00+00:00,2025-12-27 07:38:00+00:00,,0.0007936740000001091,37.0,2931.27,2933.01,0.0020605403118785226,-8.528726456447089e-05,0.000593599361369046,0.0014047002908275097,-6.818933450625231e-05
ETH/USDT,2025-12-27 08:07:00+00:00,2025-12-27 08:45:00+00:00,,-0.0009270960000001456,38.0,2935.41,2935.14,0.0005859488112394118,-0.0004224282127538448,-9.198033664803429e-05,0.0014650067799151234,-0.0010800166261234478
ETH/USDT,2025-12-27 09:08:00+00:00,2025-12-27 09:18:00+00:00,,-0.00038718400000018193,10.0,2935.92,2938.79,0.0011989427504837114,-0.0013454045069348775,0.0009775470721271606,0.00022117946501798436,-0.002708597756219455
ETH/USDT,2025-12-27 09:20:00+00:00,2025-12-27 09:28:00+00:00,,-0.005747423999999854,8.0,2937.11,2931.97,6.809414696751226e-05,-0.0021381562147826383,-0.00175001957706733,0.0017633195428330417,-0.0003888170752087694
ETH/USDT,2025-12-27 09:42:00+00:00,2025-12-27 10:07:00+00:00,,-0.0010468939999995815,25.0,2934.47,2934.06,0.0027262163184493815,-0.005104840056296411,-0.00013971858632044754,0.002866335385097729,-0.014744074763297199
ETH/USDT,2025-12-27 10:21:00+00:00,2025-12-27 10:34:00+00:00,,-0.0037065459999998914,13.0,2932.72,2929.86,0.0033245587713794933,-0.01429389781499757,-0.0009752039062711493,0.004303959916173383,-0.013331695029796586
ETH/USDT,2025-12-27 10:55:00+00:00,2025-12-27 11:07:00+00:00,,-0.0026252959999999636,12.0,2926.48,2890.8,0.002128837374593351,-0.01219212159317673,-0.01219212159317673,0.014497716894977142,0.0
ETH/USDT,2025-12-27 11:21:00+00:00,2025-12-27 11:48:00+00:00,,0.0002943979999996543,27.0,2927.61,2928.89,0.0017420353120805032,-0.00020836108634691985,0.0004372167057768994,0.0016934743196228563,-0.000153641823352757
ETH/USDT,2025-12-27 11:53:00+00:00,2025-12-27 12:06:00+00:00,,-0.0009563259999998909,13.0,2931.62,2931.26,0.000760671574078442,-0.0008220710733314318,-0.00012279899850586862,0.0008835790752099726,-0.0009654551285114277
ETH/USDT,2025-12-27 12:31:00+00:00,2025-12-27 12:42:00+00:00,,0.0011337140000002546,11.0,2931.43,2933.15,0.003438594815499796,-0.0016681278420429546,0.0005867443534384176,0.002850178136133641,-0.0024035593133662214
ETH/USDT,2025-12-27 12:45:00+00:00,2025-12-27 12:57:00+00:00,,-0.0014665220000001093,12.0,2932.17,2932.19,0.003185354191605594,-0.0020701391801976055,6.8208869199448685e-06,0.0031785116244174016,-0.0020769459005044455
ETH/USDT,2025-12-27 13:20:00+00:00,2025-12-27 13:28:00+00:00,,0.0003546899999995998,8.0,2926.55,2927.49,0.005111821086261958,-0.0001537646717124641,0.0003211973142436264,0.0016123026893346548,-0.0005362955979353323
ETH/USDT,2025-12-27 13:37:00+00:00,2025-12-27 13:52:00+00:00,,-0.0019763819999998725,15.0,2931.9,2930.53,0.0001057334834067003,-0.0020396330024898823,-0.000467273781506794,0.00018767936175367872,-0.0015730942866990505
ETH/USDT,2025-12-27 14:35:00+00:00,2025-12-27 15:01:00+00:00,,-0.0018059720000002549,26.0,2929.86,2928.6,0.000416402148908146,-0.0011092680196322924,-0.0004300546783806425,0.0005838967424707242,-0.001034624052448141
ETH/USDT,2025-12-27 15:32:00+00:00,2025-12-27 15:47:00+00:00,,-0.0020760600000002366,15.0,2930.3,2928.81,3.4126198682482567e-06,-0.003340954851039135,-0.000508480360372765,6.828712002526771e-06,-0.009887974979599257
ETH/USDT,2025-12-27 16:07:00+00:00,2025-12-27 16:16:00+00:00,,-0.0030754760000002365,9.0,2927.37,2925.48,0.00011956124439338467,-0.009400929844877837,-0.0006456307197244548,0.0002700411556393334,-0.008760955467137066
ETH/USDT,2025-12-27 16:39:00+00:00,2025-12-27 16:48:00+00:00,,-0.0035247220000000547,9.0,2923.6,2921.26,0.0010603365713504065,-0.008123546312765129,-0.0008003830893418273,0.002040215523438471,-0.0007188678857754649
ETH/USDT,2025-12-27 17:02:00+00:00,2025-12-27 17:44:00+00:00,,0.0024854500000001637,42.0,2921.73,2925.17,0.0024471802664860487,-0.0006229186132873377,0.0011773846317080228,0.0012683023550768002,0.0
ETH/USDT,2025-12-27 17:46:00+00:00,2025-12-27 18:07:00+00:00,,-0.0008953859999999454,21.0,2926.92,2926.76,0.0006696459076436234,-0.0004544025801866969,-5.4664972052531624e-05,0.00039292596591433693,-0.0005979308176959908
ETH/USDT,2025-12-27 18:29:00+00:00,2025-12-27 18:43:00+00:00,,-0.0017955260000000364,14.0,2927.62,2926.32,0.00012979826616854595,-0.0008915091439462008,-0.00044404670004982716,0.0008235599661006177,-0.0004476612263867308
ETH/USDT,2025-12-27 19:06:00+00:00,2025-12-27 20:06:00+00:00,,0.004834660000000073,60.0,2926.69,2932.94,0.002238023159268465,-1.0250487752494486e-05,0.0021355182817448526,0.00011933418344733937,-0.0013808669798905937
ETH/USDT,2025-12-27 20:08:00+00:00,2025-12-27 20:21:00+00:00,,-0.0017264260000003275,13.0,2932.13,2931.13,0.0003956168382710512,-0.001104998755171227,-0.0003410489985096188,0.0003479886596635673,-0.000764210389849751
ETH/USDT,2025-12-27 21:11:00+00:00,2025-12-27 21:54:00+00:00,,0.0017838839999998908,43.0,2930.57,2932.78,0.0021907001027101636,0.0,0.0007541195057616523,0.007085427478365158,-0.0007228636310941949
