symbol,entry_ts,exit_ts,exit_reason,pnl,hold_minutes,entry_price,exit_price,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
SOL/USDT,2025-12-24 20:15:00+00:00,2025-12-24 20:35:00+00:00,prob_floor,-0.0083678399999998,20.0,122.95,122.9,0.0013013420089467154,-0.0026026840178935418,-0.0004066693777958763,0.0009764035801462789,-0.0021969080553295717
SOL/USDT,2025-12-24 21:02:00+00:00,2025-12-24 21:18:00+00:00,prob_floor,-0.0227667200000004,16.0,122.82,122.77,0.002279758996906134,-0.001221299462628167,-0.0004070998208760557,0.003828296815182819,-0.0008145312372729308
SOL/USDT,2025-12-24 21:24:00+00:00,2025-12-24 21:29:00+00:00,take_profit,0.0132366400000009,5.0,122.7,122.83,0.004400977995109967,0.0,0.00105949470252642,0.003337946755678445,-0.00024424000651313005
SOL/USDT,2025-12-24 21:33:00+00:00,2025-12-24 21:55:00+00:00,prob_floor,0.0012332799999993,22.0,122.91,122.94,0.0026848913839394584,0.0,0.00024408103490358712,0.0030909386692694607,-8.134049129648879e-05
SOL/USDT,2025-12-24 22:00:00+00:00,2025-12-24 22:07:00+00:00,gate_close,0.0044318399999998,7.0,123.0,123.12,0.0030081300813007417,-0.0005691056910568371,0.0009756097560975618,0.0020305393112409753,-0.0015432098765432167
SOL/USDT,2025-12-24 22:10:00+00:00,2025-12-24 22:15:00+00:00,gate_close,-0.0115718399999992,5.0,123.2,123.17,0.0013798701298701754,-0.0021915584415583833,-0.00024350649350646236,0.0016237720224081542,-0.0019485264268895852
SOL/USDT,2025-12-24 22:20:00+00:00,2025-12-24 22:25:00+00:00,prob_floor,-0.0043691199999989,5.0,123.1,123.03,0.0021933387489847522,-0.0013809910641753298,-0.0005686433793663515,0.0027635536048118414,-0.002194586686174116
SOL/USDT,2025-12-24 22:33:00+00:00,2025-12-24 22:38:00+00:00,gate_close,-0.0003700799999991,5.0,123.14,123.3,0.0018677927562125163,-0.0034107519896053873,0.001299334091278137,0.0005677210056773685,-0.004703974047039705
SOL/USDT,2025-12-24 22:42:00+00:00,2025-12-24 22:51:00+00:00,gate_close,-0.0011715199999995,9.0,123.22,123.23,0.001217334848238938,-0.004382405453660088,8.115565654920331e-05,0.0011360869918040084,-0.004463198896372589
SOL/USDT,2025-12-24 22:53:00+00:00,2025-12-24 22:59:00+00:00,gate_close,-0.006773119999999,6.0,123.29,123.31,0.0006488766323302642,-0.00559656095384875,0.00016221915808256604,0.0004865785418863844,-0.006893196010056002
