entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.1,3,,0.004,0.0075,10,4379,2218,11012782.596351432,110127.82596351432,17.13114262868275,2601.5917420680053,57.0218608155154,0.009624614047997162,2514.9081060405188,0.62224,3600,0,0,"{""prob_floor"": 945, ""stop_loss"": 3418, ""prob_trailing"": 145, ""take_profit"": 2007}",0.59076
0.49,0.48,0.1,3,,0.005,,8,2963,1168,5351923.228329484,53519.23228329484,10.805462532373793,3568.708196533262,34.90039678397263,-96.351637399512,1806.2515114173086,0.6471,4904,0,0,"{""prob_floor"": 2321, ""stop_loss"": 3452, ""prob_trailing"": 302}",0.59076
0.49,0.48,0.1,3,,0.005,,10,3217,1287,5948596.171242977,59485.961712429766,11.409375760851551,3568.708196533262,35.72703029200422,-96.350453633352,1849.1128912785143,0.65128,3277,0,0,"{""prob_floor"": 2045, ""stop_loss"": 2889, ""prob_trailing"": 274}",0.59076
0.49,0.48,0.1,3,,0.005,0.0075,8,4033,1932,9175668.517992267,91756.68517992267,15.657839949613008,2025.5683578108437,49.478579166827515,-0.03952766471499185,2275.147165383651,0.61698,5423,0,0,"{""prob_floor"": 1162, ""stop_loss"": 4060, ""take_profit"": 1932, ""prob_trailing"": 190}",0.59076
0.49,0.48,0.1,3,,0.005,0.0075,10,4378,2215,10885665.332067749,108856.65332067749,17.087367354289576,2601.5917420680053,56.291159348210904,0.009007774548997937,2486.447083615292,0.62232,3591,0,0,"{""prob_floor"": 948, ""stop_loss"": 3410, ""prob_trailing"": 149, ""take_profit"": 1996}",0.59076
0.49,0.48,0.1,3,3600.0,0.004,,8,2965,1170,5419299.6798581695,54192.9967985817,10.854705631206173,3568.708196533262,35.369064588249,-96.351533699004,1827.7570589740878,0.647,4906,0,0,"{""prob_floor"": 2306, ""stop_loss"": 3456, ""prob_trailing"": 306, ""time_limit"": 17}",0.59076
0.49,0.48,0.1,3,3600.0,0.004,,10,3222,1290,5883030.970988226,58830.30970988226,11.366919746823415,3568.708196533262,35.3453191918591,-96.349792589061,1825.8941561105614,0.65144,3283,0,0,"{""prob_floor"": 2041, ""stop_loss"": 2908, ""prob_trailing"": 278, ""time_limit"": 4}",0.59076
0.49,0.48,0.1,3,3600.0,0.004,0.0075,8,4033,1932,9175668.517992267,91756.68517992267,15.657839949613008,2025.5683578108437,49.478579166827515,-0.03952766471499185,2275.147165383651,0.61698,5434,0,0,"{""prob_floor"": 1161, ""stop_loss"": 4058, ""take_profit"": 1932, ""prob_trailing"": 189, ""time_limit"": 15}",0.59076
0.49,0.48,0.1,3,3600.0,0.004,0.0075,10,4379,2218,11012782.596351432,110127.82596351432,17.13114262868275,2601.5917420680053,57.0218608155154,0.009624614047997162,2514.9081060405188,0.62224,3600,0,0,"{""prob_floor"": 945, ""stop_loss"": 3417, ""prob_trailing"": 144, ""take_profit"": 2007, ""time_limit"": 2}",0.59076
0.49,0.48,0.1,3,3600.0,0.005,,8,2965,1169,5357105.212332605,53571.05212332605,10.81588753795234,3568.708196533262,34.91252891600564,-96.351533699004,1806.7808473297155,0.64698,4904,0,0,"{""prob_floor"": 2316, ""stop_loss"": 3439, ""prob_trailing"": 302, ""time_limit"": 17}",0.59076
0.49,0.48,0.1,3,3600.0,0.005,,10,3217,1287,5883611.221242976,58836.11221242976,11.368378537207235,3568.708196533262,35.34765770354646,-96.350453633352,1828.9124094631582,0.65126,3277,0,0,"{""prob_floor"": 2042, ""stop_loss"": 2889, ""prob_trailing"": 273, ""time_limit"": 4}",0.59076
0.49,0.48,0.1,3,3600.0,0.005,0.0075,8,4033,1932,9175668.517992267,91756.68517992267,15.657839949613008,2025.5683578108437,49.478579166827515,-0.03952766471499185,2275.147165383651,0.61698,5423,0,0,"{""prob_floor"": 1162, ""stop_loss"": 4046, ""take_profit"": 1932, ""prob_trailing"": 189, ""time_limit"": 15}",0.59076
