entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,entry_rsi_min,entry_macd_min,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.7,0.7,0.15,1,14400,0.012,,,,8,True,50.0,,963,439,-31.811482980252407,-1.2724593192100964,-3.2097878547869816,32.41305508823,0.7594015029242454,-0.027256783544698564,-0.03303373102829947,0.9010044642857142,2180,0,6311,"{""time_limit"": 722, ""stop_loss"": 241}",0.6132366071428571
0.75,0.75,0.15,1,14400,0.012,,,,8,True,50.0,,953,431,-34.934804470237694,-1.3973921788095078,-3.626484673059159,35.403547468411965,0.7350689486467141,-0.027256783544698564,-0.036657717177584134,0.8913258928571428,2213,0,6378,"{""time_limit"": 714, ""stop_loss"": 239}",0.5952455357142857
0.7866,0.7866,0.15,1,14400,0.012,,,,8,True,50.0,,550,253,-11.499089856990652,-0.4599635942796261,-1.529553684030363,13.215822815211718,0.8288683400073672,-0.014409650391682568,-0.02090743610361937,0.5248571428571429,784,0,3389,"{""time_limit"": 428, ""stop_loss"": 122}",0.2464955357142857
0.8,0.8,0.15,1,14400,0.012,,,,8,True,50.0,,550,253,-11.499089856990652,-0.4599635942796261,-1.529553684030363,13.215822815211718,0.8288683400073672,-0.014409650391682568,-0.02090743610361937,0.5248571428571429,783,0,3379,"{""time_limit"": 428, ""stop_loss"": 122}",0.24634375
0.85,0.85,0.15,1,14400,0.012,,,,8,True,50.0,,517,243,-8.73054875368597,-0.3492219501474388,-1.2137225267924212,10.933038281988292,0.8558348787446328,-0.010134639171113496,-0.016886941496491236,0.4978705357142857,694,0,3139,"{""time_limit"": 407, ""stop_loss"": 110}",0.22923214285714286
0.999999,0.999999,0.15,1,14400,0.012,,,,8,True,50.0,,417,189,-10.45580621731642,-0.4182322486926568,-1.5523090614081445,11.670379557457027,0.8020181294757415,-0.017517755021362377,-0.02507387582090269,0.4006919642857143,395,0,2337,"{""time_limit"": 323, ""stop_loss"": 94}",0.17108928571428572
