symbol,entry_ts,exit_ts,exit_reason,pnl,hold_minutes,entry_price,exit_price,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
ETH/USDT,2025-12-18 00:00:00+00:00,2025-12-18 00:00:00+00:00,dry_run,0.0,,2833.27,2833.27,0.199105627066958,-0.004425981286640512,0.0,0.199105627066958,-0.004425981286640512
ETH/USDT,2025-12-18 00:00:00+00:00,2025-12-18 00:33:00+00:00,take_profit,0.0232815240000002,33.0,2833.27,2835.24,0.199105627066958,-0.004425981286640512,0.0006953096598629749,0.0008958677219566002,-0.004620420140799331
ETH/USDT,2025-12-18 00:35:00+00:00,2025-12-18 00:35:00+00:00,turnover_limit,0.0,,2835.4,2835.4,0.0008393877407069095,-0.005657050151654075,0.0,0.0008393877407069095,-0.005657050151654075
ETH/USDT,2025-12-18 00:36:00+00:00,2025-12-18 00:36:00+00:00,turnover_limit,0.0,,2836.57,2836.57,0.0004265715282893989,-0.006067186778397904,0.0,0.0004265715282893989,-0.006067186778397904
ETH/USDT,2025-12-18 00:38:00+00:00,2025-12-18 00:38:00+00:00,turnover_limit,0.0,,2836.7,2836.7,0.0003807240807982559,-0.006112736630591753,0.0,0.0003807240807982559,-0.006112736630591753
ETH/USDT,2025-12-18 00:40:00+00:00,2025-12-18 00:40:00+00:00,turnover_limit,0.0,,2837.19,2837.19,0.000207952234429154,-0.006284387016731285,0.0,0.000207952234429154,-0.006284387016731285
ETH/USDT,2025-12-18 00:41:00+00:00,2025-12-18 00:41:00+00:00,turnover_limit,0.0,,2833.45,2833.45,0.001528172369373193,-0.004972736416735679,0.0,0.001528172369373193,-0.004972736416735679
ETH/USDT,2025-12-18 00:42:00+00:00,2025-12-18 00:42:00+00:00,turnover_limit,0.0,,2833.34,2833.34,0.0015670551363409224,-0.004934106037397523,0.0,0.0015670551363409224,-0.004934106037397523
ETH/USDT,2025-12-18 00:43:00+00:00,2025-12-18 00:43:00+00:00,turnover_limit,0.0,,2833.01,2833.01,0.0016837215541067874,-0.004818196900116867,0.0,0.0016837215541067874,-0.004818196900116867
ETH/USDT,2025-12-18 00:49:00+00:00,2025-12-18 00:49:00+00:00,turnover_limit,0.0,,2837.0,2837.0,0.00027493831512170885,-0.0062178357419808705,0.0,0.00027493831512170885,-0.0062178357419808705
ETH/USDT,2025-12-18 00:50:00+00:00,2025-12-18 00:50:00+00:00,turnover_limit,0.0,,2837.25,2837.25,0.00018680059917186576,-0.006305401356947682,0.0,0.00018680059917186576,-0.006305401356947682
ETH/USDT,2025-12-18 00:51:00+00:00,2025-12-18 00:51:00+00:00,turnover_limit,0.0,,2835.3,2835.3,0.0008746869819771241,-0.0056219800373857876,0.0,0.0008746869819771241,-0.0056219800373857876
ETH/USDT,2025-12-18 00:53:00+00:00,2025-12-18 00:53:00+00:00,turnover_limit,0.0,,2835.55,2835.55,0.0003844051418595562,-0.005709650685052248,0.0,0.0003844051418595562,-0.005709650685052248
ETH/USDT,2025-12-18 00:55:00+00:00,2025-12-18 00:55:00+00:00,turnover_limit,0.0,,2836.55,2836.55,3.1728684493304016e-05,-0.006060178738256039,0.0,3.1728684493304016e-05,-0.006060178738256039
ETH/USDT,2025-12-18 00:56:00+00:00,2025-12-18 00:56:00+00:00,turnover_limit,0.0,,2835.97,2835.97,0.00023625073607980163,-0.005856902576543366,0.0,0.00023625073607980163,-0.005856902576543366
ETH/USDT,2025-12-18 00:57:00+00:00,2025-12-18 00:57:00+00:00,turnover_limit,0.0,,2836.56,2836.56,1.0576190879074687e-05,-0.0060636827706799235,0.0,1.0576190879074687e-05,-0.0060636827706799235
ETH/USDT,2025-12-18 00:58:00+00:00,2025-12-18 00:58:00+00:00,turnover_limit,0.0,,2836.01,2836.01,0.00020451267802301665,-0.00587092429152225,0.0,0.00020451267802301665,-0.00587092429152225
