entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.1,3,,0.004,,10,776,247,-6.590715697520473,-0.32953578487602364,-7.7887037583712395,6.611685404864403,0.4456676237286446,-0.008621715655172979,-0.008493190331856273,0.3957,591,0,0,"{""gate_close"": 873, ""prob_floor"": 457, ""prob_trailing"": 24, ""stop_loss"": 13}",0.264
0.49,0.48,0.1,3,,0.004,0.0075,8,646,226,-1.7334513842376298,-0.08667256921188149,-1.7524874583414924,2.512358245449198,0.8037051073738455,-0.007306098499362892,-0.002683361275909647,0.4499,1261,0,0,"{""gate_close"": 1176, ""prob_floor"": 604, ""prob_trailing"": 28, ""take_profit"": 74, ""stop_loss"": 25}",0.264
0.49,0.48,0.1,3,,0.004,0.0075,10,776,247,-6.590715697520473,-0.32953578487602364,-7.7887037583712395,6.611685404864403,0.4456676237286446,-0.008621715655172979,-0.008493190331856273,0.3957,591,0,0,"{""gate_close"": 869, ""prob_floor"": 449, ""prob_trailing"": 24, ""take_profit"": 12, ""stop_loss"": 13}",0.264
0.49,0.48,0.1,3,,0.005,,8,643,223,-1.6837284349470214,-0.08418642174735107,-1.710985691220393,2.4950921809260787,0.8068835135310389,-0.007352590611381566,-0.0026185512207574234,0.451,1270,0,0,"{""gate_close"": 1222, ""prob_floor"": 648, ""prob_trailing"": 29, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,3,,0.005,,10,774,245,-6.57719148283731,-0.3288595741418655,-7.829426029592968,6.59816119018124,0.4438946784132391,-0.008704833860499615,-0.00849766341451848,0.3959,593,0,0,"{""gate_close"": 880, ""prob_floor"": 458, ""prob_trailing"": 23, ""stop_loss"": 6}",0.264
0.49,0.48,0.1,3,,0.005,0.0075,8,643,223,-1.700994499470141,-0.08504972497350705,-1.7363379083809294,2.512358245449198,0.8049031694050837,-0.007352590611381566,-0.002645403576158854,0.4504,1266,0,0,"{""gate_close"": 1189, ""prob_floor"": 605, ""prob_trailing"": 27, ""take_profit"": 74, ""stop_loss"": 14}",0.264
0.49,0.48,0.1,3,,0.005,0.0075,10,774,245,-6.57719148283731,-0.3288595741418655,-7.829426029592968,6.59816119018124,0.4438946784132391,-0.008704833860499615,-0.00849766341451848,0.3959,593,0,0,"{""gate_close"": 876, ""prob_floor"": 450, ""prob_trailing"": 23, ""take_profit"": 12, ""stop_loss"": 6}",0.264
0.49,0.48,0.1,3,3600.0,0.004,,8,646,226,-1.7161853197145107,-0.08580926598572554,-1.7273779489840115,2.4950921809260787,0.8056603051442938,-0.007306098499362892,-0.0026566336218490903,0.4505,1265,0,0,"{""gate_close"": 1209, ""prob_floor"": 645, ""prob_trailing"": 30, ""stop_loss"": 25, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.004,,10,776,247,-6.590715697520473,-0.32953578487602364,-7.7887037583712395,6.611685404864403,0.4456676237286446,-0.008621715655172979,-0.008493190331856273,0.3957,591,0,0,"{""gate_close"": 873, ""prob_floor"": 455, ""prob_trailing"": 24, ""stop_loss"": 13, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.004,0.0075,8,646,226,-1.7334513842376298,-0.08667256921188149,-1.7524874583414924,2.512358245449198,0.8037051073738455,-0.007306098499362892,-0.002683361275909647,0.4499,1261,0,0,"{""gate_close"": 1176, ""prob_floor"": 602, ""prob_trailing"": 28, ""take_profit"": 74, ""stop_loss"": 25, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.004,0.0075,10,776,247,-6.590715697520473,-0.32953578487602364,-7.7887037583712395,6.611685404864403,0.4456676237286446,-0.008621715655172979,-0.008493190331856273,0.3957,591,0,0,"{""gate_close"": 869, ""prob_floor"": 447, ""prob_trailing"": 24, ""take_profit"": 12, ""stop_loss"": 13, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.005,,8,643,223,-1.6837284349470214,-0.08418642174735107,-1.710985691220393,2.4950921809260787,0.8068835135310389,-0.007352590611381566,-0.0026185512207574234,0.451,1270,0,0,"{""gate_close"": 1222, ""prob_floor"": 646, ""prob_trailing"": 29, ""stop_loss"": 14, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.005,,10,774,245,-6.57719148283731,-0.3288595741418655,-7.829426029592968,6.59816119018124,0.4438946784132391,-0.008704833860499615,-0.00849766341451848,0.3959,593,0,0,"{""gate_close"": 880, ""prob_floor"": 456, ""prob_trailing"": 23, ""time_limit"": 2, ""stop_loss"": 6}",0.264
0.49,0.48,0.1,3,3600.0,0.005,0.0075,8,643,223,-1.700994499470141,-0.08504972497350705,-1.7363379083809294,2.512358245449198,0.8049031694050837,-0.007352590611381566,-0.002645403576158854,0.4504,1266,0,0,"{""gate_close"": 1189, ""prob_floor"": 603, ""prob_trailing"": 27, ""take_profit"": 74, ""stop_loss"": 14, ""time_limit"": 2}",0.264
0.49,0.48,0.1,3,3600.0,0.005,0.0075,10,774,245,-6.57719148283731,-0.3288595741418655,-7.829426029592968,6.59816119018124,0.4438946784132391,-0.008704833860499615,-0.00849766341451848,0.3959,593,0,0,"{""gate_close"": 876, ""prob_floor"": 448, ""prob_trailing"": 23, ""take_profit"": 12, ""time_limit"": 2, ""stop_loss"": 6}",0.264
0.49,0.48,0.15,1,,0.004,,8,760,205,-3.713114784555199,-0.18565573922775996,-3.7282892435881108,4.329912015583396,0.647265836838472,-0.008390858922018369,-0.004885677348098942,0.4165,1532,0,0,"{""gate_close"": 1520, ""prob_floor"": 748, ""prob_trailing"": 4, ""stop_loss"": 20}",0.264
0.49,0.48,0.15,1,,0.004,,10,953,192,-10.764998338536026,-0.5382499169268014,-13.82966772457721,10.785968045879956,0.2721196167608336,-0.011188914501266845,-0.011295905916617029,0.3327,692,0,0,"{""gate_close"": 1124, ""prob_floor"": 510, ""stop_loss"": 9, ""prob_trailing"": 2}",0.264
0.49,0.48,0.15,1,,0.004,0.0075,8,760,205,-3.7343677295188162,-0.1867183864759408,-3.7687084063674847,4.351164960547014,0.6452468742716152,-0.008390858922018369,-0.004913641749366862,0.4158,1528,0,0,"{""gate_close"": 1486, ""prob_floor"": 703, ""prob_trailing"": 3, ""take_profit"": 76, ""stop_loss"": 20}",0.264
0.49,0.48,0.15,1,,0.004,0.0075,10,954,192,-10.78496238486189,-0.5392481192430945,-13.780705667501143,10.80593209220582,0.27274223878854076,-0.011222528668097012,-0.01130499201767494,0.3326,692,0,0,"{""gate_close"": 1120, ""prob_floor"": 505, ""stop_loss"": 9, ""prob_trailing"": 2, ""take_profit"": 10}",0.264
0.49,0.48,0.15,1,,0.005,,8,759,204,-3.705102117237701,-0.18525510586188504,-3.7419656340500795,4.329912015583396,0.6459340721226222,-0.008460375380914074,-0.004881557466716336,0.4166,1532,0,0,"{""gate_close"": 1525, ""prob_floor"": 748, ""prob_trailing"": 4, ""stop_loss"": 14}",0.264
0.49,0.48,0.15,1,,0.005,,10,952,191,-10.756985671218528,-0.5378492835609264,-13.952193785574892,10.777955378562458,0.269588288849569,-0.011222528668097012,-0.01129935469665812,0.3328,692,0,0,"{""gate_close"": 1128, ""prob_floor"": 510, ""prob_trailing"": 2, ""stop_loss"": 4}",0.264
0.49,0.48,0.15,1,,0.005,0.0075,8,759,204,-3.726355062201319,-0.18631775311006596,-3.782805322984299,4.351164960547014,0.6439031041653125,-0.008460375380914074,-0.004909558711727691,0.4159,1528,0,0,"{""gate_close"": 1491, ""prob_floor"": 703, ""prob_trailing"": 3, ""take_profit"": 76, ""stop_loss"": 14}",0.264
0.49,0.48,0.15,1,,0.005,0.0075,10,953,191,-10.776949717544392,-0.5388474858772196,-13.901375708610985,10.797919424888322,0.2702204102560295,-0.01125614283492718,-0.011308446713058126,0.3327,692,0,0,"{""gate_close"": 1124, ""prob_floor"": 505, ""prob_trailing"": 2, ""take_profit"": 10, ""stop_loss"": 4}",0.264
0.49,0.48,0.15,1,3600.0,0.004,,8,760,205,-3.713114784555199,-0.18565573922775996,-3.7282892435881108,4.329912015583396,0.647265836838472,-0.008390858922018369,-0.004885677348098942,0.4165,1532,0,0,"{""gate_close"": 1520, ""prob_floor"": 747, ""prob_trailing"": 4, ""stop_loss"": 20, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.004,,10,953,192,-10.764998338536026,-0.5382499169268014,-13.82966772457721,10.785968045879956,0.2721196167608336,-0.011188914501266845,-0.011295905916617029,0.3327,692,0,0,"{""gate_close"": 1124, ""prob_floor"": 509, ""stop_loss"": 9, ""prob_trailing"": 2, ""time_limit"": 1}",0.264
0.49,0.48,0.15,1,3600.0,0.004,0.0075,8,760,205,-3.7343677295188162,-0.1867183864759408,-3.7687084063674847,4.351164960547014,0.6452468742716152,-0.008390858922018369,-0.004913641749366862,0.4158,1528,0,0,"{""gate_close"": 1486, ""prob_floor"": 702, ""prob_trailing"": 3, ""take_profit"": 76, ""stop_loss"": 20, ""time_limit"": 1}",0.264
