symbol,entry_ts,exit_ts,exit_reason,pnl,hold_minutes,entry_price,exit_price,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
ETH/USDT,2025-12-18 03:40:00+00:00,2025-12-18 03:40:00+00:00,dry_run,0.0,,2829.49,2829.49,0.0010355223026059512,0.0,0.0,0.0010355223026059512,0.0
BTC/USDT,2025-12-18 03:40:00+00:00,2025-12-18 03:40:00+00:00,dry_run,0.0,,86525.01,86525.01,0.0005722044990230657,-0.00041248189396325685,0.0,0.0005722044990230657,-0.00041248189396325685
SOL/USDT,2025-12-18 03:41:00+00:00,2025-12-18 03:41:00+00:00,dry_run,0.0,,123.46,123.46,8.099789405480173e-05,-0.0007289810464926605,0.0,8.099789405480173e-05,-0.0007289810464926605
