entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.7,0.7,0.15,1,14400,0.005,,,,8,True,1426,494,-66.25074912640525,-2.65002996505621,-6.591866004804265,66.46474662612748,0.6416284688466396,-0.16173711722826722,-0.04645915086003173,0.9139285714285714,5637,0,0,"{""stop_loss"": 821, ""time_limit"": 605}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,,0.0015,8,True,1426,494,-66.25074912640525,-2.65002996505621,-6.591866004804265,66.46474662612748,0.6416284688466396,-0.16173711722826722,-0.04645915086003173,0.9139285714285714,5637,0,0,"{""stop_loss"": 821, ""time_limit"": 605}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,,0.0025,8,True,1426,494,-66.25074912640525,-2.65002996505621,-6.591866004804265,66.46474662612748,0.6416284688466396,-0.16173711722826722,-0.04645915086003173,0.9139285714285714,5637,0,0,"{""stop_loss"": 821, ""time_limit"": 605}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.003,,8,True,1426,494,-66.25074912640525,-2.65002996505621,-6.591866004804265,66.46474662612748,0.6416284688466396,-0.16173711722826722,-0.04645915086003173,0.9139285714285714,5637,0,0,"{""stop_loss"": 821, ""time_limit"": 605}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.003,0.0015,8,True,3516,1907,-121.65348226352216,-4.866139290540887,-12.43923319122125,122.2720623992363,0.5733984193836356,0.012448809622105875,-0.034599966514084764,0.8571741071428571,9546,0,0,"{""stop_loss"": 1335, ""profit_trailing"": 2116, ""time_limit"": 65}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.003,0.0025,8,True,3096,1452,-110.36862926146587,-4.414745170458635,-11.050848139608716,110.84517781352197,0.5783294784886711,-0.00512960178525419,-0.03564878206119707,0.8678839285714286,8675,0,0,"{""stop_loss"": 1180, ""profit_trailing"": 1836, ""time_limit"": 80}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.005,,8,True,1426,494,-66.25074912640525,-2.65002996505621,-6.591866004804265,66.46474662612748,0.6416284688466396,-0.16173711722826722,-0.04645915086003173,0.9139285714285714,5637,0,0,"{""stop_loss"": 821, ""time_limit"": 605}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.005,0.0015,8,True,2658,1288,-104.10529019071964,-4.164211607628785,-10.605760740627028,104.65787459752778,0.6117417504795316,-0.023647054217155815,-0.039166775843009684,0.871875,8793,0,0,"{""stop_loss"": 1259, ""profit_trailing"": 1256, ""time_limit"": 143}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.005,,0.005,0.0025,8,True,2453,1173,-98.48876002642068,-3.939550401056827,-9.89428709969397,99.32036450155232,0.6080800023856476,-0.02641352683279248,-0.04015033021867956,0.8779464285714286,8134,0,0,"{""stop_loss"": 1163, ""profit_trailing"": 1140, ""time_limit"": 150}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,,,8,True,1152,478,-52.71913879332222,-2.1087655517328887,-5.186211354558496,53.38461182550187,0.6753653281445847,-0.06951807087907107,-0.04576314131364778,0.9260625,4630,0,0,"{""stop_loss"": 481, ""time_limit"": 671}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,,0.0015,8,True,1152,478,-52.71913879332222,-2.1087655517328887,-5.186211354558496,53.38461182550187,0.6753653281445847,-0.06951807087907107,-0.04576314131364778,0.9260625,4630,0,0,"{""stop_loss"": 481, ""time_limit"": 671}",0.6132366071428571
0.7,0.7,0.15,1,14400,0.008,,,0.0025,8,True,1152,478,-52.71913879332222,-2.1087655517328887,-5.186211354558496,53.38461182550187,0.6753653281445847,-0.06951807087907107,-0.04576314131364778,0.9260625,4630,0,0,"{""stop_loss"": 481, ""time_limit"": 671}",0.6132366071428571
