symbol,entry_ts,exit_ts,exit_reason,pnl,hold_minutes,entry_price,exit_price,mfe_pct,mae_pct,exit_return_pct,post_exit_max_return_pct,post_exit_min_return_pct
BTC/USDT,2025-12-29 21:03:00+00:00,2025-12-29 21:21:00+00:00,prob_floor,-0.005246637000000932,18.0,87269.94,87267.64,0.0011651205443705681,-0.0004778277606241055,-2.635500837977478e-05,0.0010416232179533136,-0.0004514846511260995
SOL/USDT,2025-12-29 21:03:00+00:00,2025-12-29 21:24:00+00:00,prob_floor,-0.0027716800000004097,21.0,123.23,123.22,0.00284021747950991,-0.00024344721252944623,-8.114907084322276e-05,0.0029216036357733177,0.0
ETH/USDT,2025-12-29 21:03:00+00:00,2025-12-29 21:30:00+00:00,prob_floor,0.004936579999999272,27.0,2931.66,2932.79,0.002612854150890742,-0.0005184775860774815,0.00038544715280774966,0.0022265487811947704,-0.00024550001875345284
